Date,,Denton Branch Rail Trail (S of Morse Street) Pedestrians,Denton Branch Rail Trail (S of Morse Street) Cyclists
20/08/2015,0:00,62,167
21/08/2015,0:00,36,119
22/08/2015,0:00,73,176
23/08/2015,0:00,33,164
24/08/2015,0:00,52,159
25/08/2015,0:00,37,183
26/08/2015,0:00,36,167
27/08/2015,0:00,43,131
28/08/2015,0:00,39,130
29/08/2015,0:00,60,166
30/08/2015,0:00,25,134
31/08/2015,0:00,62,139
1/9/2015,0:00,45,149
2/9/2015,0:00,45,150
3/9/2015,0:00,56,152
4/9/2015,0:00,50,221
5/9/2015,0:00,45,180
6/9/2015,0:00,41,151
7/9/2015,0:00,40,149
8/9/2015,0:00,57,119
9/9/2015,0:00,58,94
10/9/2015,0:00,52,141
11/9/2015,0:00,52,134
12/9/2015,0:00,60,234
13/09/2015,0:00,40,156
14/09/2015,0:00,45,131
15/09/2015,0:00,56,167
16/09/2015,0:00,68,128
17/09/2015,0:00,47,116
18/09/2015,0:00,39,88
19/09/2015,0:00,33,102
20/09/2015,0:00,44,139
21/09/2015,0:00,40,130
22/09/2015,0:00,52,140
23/09/2015,0:00,39,112
24/09/2015,0:00,40,133
25/09/2015,0:00,57,145
26/09/2015,0:00,68,173
27/09/2015,0:00,60,171
28/09/2015,0:00,77,155
29/09/2015,0:00,46,135
30/09/2015,0:00,30,145
1/10/2015,0:00,28,116
2/10/2015,0:00,41,135
3/10/2015,0:00,54,151
4/10/2015,0:00,55,145
5/10/2015,0:00,30,124
6/10/2015,0:00,36,132
7/10/2015,0:00,78,140
8/10/2015,0:00,29,127
9/10/2015,0:00,30,103
10/10/2015,0:00,48,185
11/10/2015,0:00,54,148
12/10/2015,0:00,57,147
13/10/2015,0:00,34,132
14/10/2015,0:00,36,105
15/10/2015,0:00,51,119
16/10/2015,0:00,35,122
17/10/2015,0:00,49,140
18/10/2015,0:00,58,114
19/10/2015,0:00,26,142
20/10/2015,0:00,46,105
21/10/2015,0:00,47,111
22/10/2015,0:00,29,75
23/10/2015,0:00,31,36
24/10/2015,0:00,37,37
25/10/2015,0:00,60,63
26/10/2015,0:00,30,104
27/10/2015,0:00,36,103
28/10/2015,0:00,40,118
29/10/2015,0:00,37,131
30/10/2015,0:00,12,22
31/10/2015,0:00,45,88
1/11/2015,0:00,49,83
2/11/2015,0:00,38,119
3/11/2015,0:00,56,113
4/11/2015,0:00,41,103
5/11/2015,0:00,35,57
6/11/2015,0:00,40,95
7/11/2015,0:00,44,111
8/11/2015,0:00,36,118
9/11/2015,0:00,18,112
10/11/2015,0:00,35,106
11/11/2015,0:00,39,99
12/11/2015,0:00,31,103
13/11/2015,0:00,42,93
14/11/2015,0:00,24,165
15/11/2015,0:00,34,51
16/11/2015,0:00,31,53
17/11/2015,0:00,43,71
18/11/2015,0:00,31,95
19/11/2015,0:00,51,101
20/11/2015,0:00,45,87
21/11/2015,0:00,21,101
22/11/2015,0:00,46,63
23/11/2015,0:00,41,94
24/11/2015,0:00,23,85
25/11/2015,0:00,26,93
26/11/2015,0:00,18,39
27/11/2015,0:00,14,10
28/11/2015,0:00,16,16
29/11/2015,0:00,15,18
30/11/2015,0:00,35,68
1/12/2015,0:00,27,60
2/12/2015,0:00,29,58
3/12/2015,0:00,25,72
4/12/2015,0:00,29,61
5/12/2015,0:00,56,169
6/12/2015,0:00,29,91
7/12/2015,0:00,16,88
8/12/2015,0:00,41,77
9/12/2015,0:00,43,95
10/12/2015,0:00,29,110
11/12/2015,0:00,151,83
12/12/2015,0:00,37,67
13/12/2015,0:00,27,62
14/12/2015,0:00,40,90
15/12/2015,0:00,33,83
16/12/2015,0:00,27,79
17/12/2015,0:00,20,63
18/12/2015,0:00,20,50
19/12/2015,0:00,44,110
20/12/2015,0:00,30,56
21/12/2015,0:00,39,73
22/12/2015,0:00,34,80
23/12/2015,0:00,27,92
24/12/2015,0:00,35,78
25/12/2015,0:00,17,66
26/12/2015,0:00,22,36
27/12/2015,0:00,1,11
28/12/2015,0:00,16,18
29/12/2015,0:00,25,40
30/12/2015,0:00,35,53
31/12/2015,0:00,20,60
1/1/2016,0:00,29,43
2/1/2016,0:00,24,40
3/1/2016,0:00,37,101
4/1/2016,0:00,24,54
5/1/2016,0:00,38,47
6/1/2016,0:00,21,35
7/1/2016,0:00,48,61
8/1/2016,0:00,30,71
9/1/2016,0:00,28,54
10/1/2016,0:00,35,41
11/1/2016,0:00,16,44
12/1/2016,0:00,25,74
13/01/2016,0:00,38,75
14/01/2016,0:00,37,81
15/01/2016,0:00,48,88
16/01/2016,0:00,37,48
17/01/2016,0:00,24,95
18/01/2016,0:00,31,55
19/01/2016,0:00,24,64
20/01/2016,0:00,24,64
21/01/2016,0:00,27,29
22/01/2016,0:00,25,43
23/01/2016,0:00,48,58
24/01/2016,0:00,33,155
25/01/2016,0:00,44,77
26/01/2016,0:00,30,64
27/01/2016,0:00,37,59
28/01/2016,0:00,42,79
29/01/2016,0:00,32,66
30/01/2016,0:00,49,128
31/01/2016,0:00,68,151
1/2/2016,0:00,37,85
2/2/2016,0:00,54,88
3/2/2016,0:00,64,82
4/2/2016,0:00,33,78
5/2/2016,0:00,41,71
6/2/2016,0:00,31,72
7/2/2016,0:00,52,87
8/2/2016,0:00,24,52
9/2/2016,0:00,68,74
10/2/2016,0:00,57,100
11/2/2016,0:00,58,115
12/2/2016,0:00,39,94
13/02/2016,0:00,57,85
14/02/2016,0:00,36,92
15/02/2016,0:00,33,113
16/02/2016,0:00,49,84
17/02/2016,0:00,48,87
18/02/2016,0:00,42,112
19/02/2016,0:00,47,90
20/02/2016,0:00,60,145
21/02/2016,0:00,40,57
22/02/2016,0:00,29,57
23/02/2016,0:00,7,31
24/02/2016,0:00,34,53
25/02/2016,0:00,39,83
26/02/2016,0:00,31,71
27/02/2016,0:00,59,140
28/02/2016,0:00,37,131
29/02/2016,0:00,53,137
1/3/2016,0:00,56,122
2/3/2016,0:00,33,96
3/3/2016,0:00,41,85
4/3/2016,0:00,40,74
5/3/2016,0:00,51,167
6/3/2016,0:00,52,130
7/3/2016,0:00,19,46
8/3/2016,0:00,33,46
9/3/2016,0:00,28,49
10/3/2016,0:00,31,49
11/3/2016,0:00,14,39
12/3/2016,0:00,75,82
13/03/2016,0:00,40,167
14/03/2016,0:00,53,146
15/03/2016,0:00,49,138
16/03/2016,0:00,50,89
17/03/2016,0:00,30,68
18/03/2016,0:00,38,47
19/03/2016,0:00,77,120
20/03/2016,0:00,41,92
21/03/2016,0:00,62,100
22/03/2016,0:00,67,86
23/03/2016,0:00,47,82
24/03/2016,0:00,30,78
25/03/2016,0:00,59,100
26/03/2016,0:00,64,162
27/03/2016,0:00,33,63
28/03/2016,0:00,56,135
29/03/2016,0:00,44,107
30/03/2016,0:00,31,62
31/03/2016,0:00,54,115
1/4/2016,0:00,31,70
2/4/2016,0:00,49,208
3/4/2016,0:00,71,213
4/4/2016,0:00,111,110
5/4/2016,0:00,59,128
6/4/2016,0:00,58,105
7/4/2016,0:00,62,114
8/4/2016,0:00,44,99
9/4/2016,0:00,36,102
10/4/2016,0:00,43,89
11/4/2016,0:00,43,80
12/4/2016,0:00,57,99
13/04/2016,0:00,19,47
14/04/2016,0:00,39,111
15/04/2016,0:00,39,127
16/04/2016,0:00,41,129
17/04/2016,0:00,12,16
18/04/2016,0:00,35,68
19/04/2016,0:00,63,108
20/04/2016,0:00,49,87
21/04/2016,0:00,50,102
22/04/2016,0:00,52,123
23/04/2016,0:00,58,142
24/04/2016,0:00,56,153
25/04/2016,0:00,57,120
26/04/2016,0:00,18754,77
27/04/2016,0:00,5244,118
28/04/2016,0:00,102,100
29/04/2016,0:00,26,70
30/04/2016,0:00,34,172
1/5/2016,0:00,35,143
2/5/2016,0:00,34,93
3/5/2016,0:00,62,92
4/5/2016,0:00,47,150
5/5/2016,0:00,36,121
6/5/2016,0:00,946,144
7/5/2016,0:00,15696,149
8/5/2016,0:00,10295,70
9/5/2016,0:00,4593,98
10/5/2016,0:00,28214,111
11/5/2016,0:00,54429,104
12/5/2016,0:00,3945,109
13/05/2016,0:00,33,115
14/05/2016,0:00,57,261
15/05/2016,0:00,44,142
16/05/2016,0:00,36,95
17/05/2016,0:00,71,104
18/05/2016,0:00,30,81
19/05/2016,0:00,20,67
20/05/2016,0:00,64,104
21/05/2016,0:00,52,200
22/05/2016,0:00,42,157
23/05/2016,0:00,41,82
24/05/2016,0:00,40,117
25/05/2016,0:00,34,151
26/05/2016,0:00,37,87
27/05/2016,0:00,39,72
28/05/2016,0:00,74,175
29/05/2016,0:00,44,87
30/05/2016,0:00,53,202
31/05/2016,0:00,25,79
1/6/2016,0:00,667,98
2/6/2016,0:00,18,61
3/6/2016,0:00,40,66
4/6/2016,0:00,53,228
5/6/2016,0:00,56,173
6/6/2016,0:00,49,135
7/6/2016,0:00,56,139
8/6/2016,0:00,47,133
9/6/2016,0:00,42,100
10/6/2016,0:00,40,70
11/6/2016,0:00,40,129
12/6/2016,0:00,42,94
13/06/2016,0:00,40,119
14/06/2016,0:00,42,103
15/06/2016,0:00,63,139
16/06/2016,0:00,36,89
17/06/2016,0:00,31,102
18/06/2016,0:00,32,142
19/06/2016,0:00,44,129
20/06/2016,0:00,34,118
21/06/2016,0:00,58,113
22/06/2016,0:00,28,115
23/06/2016,0:00,31,110
24/06/2016,0:00,29,94
25/06/2016,0:00,61,202
26/06/2016,0:00,40,133
27/06/2016,0:00,41,88
28/06/2016,0:00,39,109
29/06/2016,0:00,27,93
30/06/2016,0:00,39,103
1/7/2016,0:00,35,92
2/7/2016,0:00,49,141
3/7/2016,0:00,36,131
4/7/2016,0:00,29,81
5/7/2016,0:00,24,82
6/7/2016,0:00,32,100
7/7/2016,0:00,23,83
8/7/2016,0:00,21,110
9/7/2016,0:00,54,133
10/7/2016,0:00,38,154
11/7/2016,0:00,37,87
12/7/2016,0:00,71,101
13/07/2016,0:00,40,96
14/07/2016,0:00,29,82
15/07/2016,0:00,24,66
16/07/2016,0:00,50,160
17/07/2016,0:00,31,124
18/07/2016,0:00,18,109
19/07/2016,0:00,112,106
20/07/2016,0:00,22,101
21/07/2016,0:00,39,94
22/07/2016,0:00,24,89
23/07/2016,0:00,41,115
24/07/2016,0:00,38,134
25/07/2016,0:00,41,76
26/07/2016,0:00,47,134
27/07/2016,0:00,42,84
28/07/2016,0:00,23,88
29/07/2016,0:00,22,76
30/07/2016,0:00,39,155
31/07/2016,0:00,49,152
1/8/2016,0:00,52,88
2/8/2016,0:00,35,120
3/8/2016,0:00,46,89
4/8/2016,0:00,70,85
5/8/2016,0:00,24,73
6/8/2016,0:00,38,141
7/8/2016,0:00,30,140
8/8/2016,0:00,25,95
9/8/2016,0:00,37,83
10/8/2016,0:00,29,80
11/8/2016,0:00,36,82
12/8/2016,0:00,28,71
13/08/2016,0:00,33,111
14/08/2016,0:00,49,134
15/08/2016,0:00,52,114
16/08/2016,0:00,53,113
17/08/2016,0:00,50,81
18/08/2016,0:00,35,63
19/08/2016,0:00,33,59
20/08/2016,0:00,37,81
21/08/2016,0:00,47,161
22/08/2016,0:00,27,81
23/08/2016,0:00,51,106
24/08/2016,0:00,43,98
25/08/2016,0:00,34,125
26/08/2016,0:00,46,84
27/08/2016,0:00,40,142
28/08/2016,0:00,60,186
29/08/2016,0:00,35,98
30/08/2016,0:00,47,101
31/08/2016,0:00,139,94
1/9/2016,0:00,42,78
2/9/2016,0:00,36,122
3/9/2016,0:00,58,139
4/9/2016,0:00,45,133
5/9/2016,0:00,42,122
6/9/2016,0:00,67,160
7/9/2016,0:00,69,97
8/9/2016,0:00,43,118
9/9/2016,0:00,32,104
10/9/2016,0:00,43,117
11/9/2016,0:00,61,173
12/9/2016,0:00,63,123
13/09/2016,0:00,65,108
14/09/2016,0:00,63,93
15/09/2016,0:00,38,108
16/09/2016,0:00,39,93
17/09/2016,0:00,76,129
18/09/2016,0:00,33,116
19/09/2016,0:00,41,91
20/09/2016,0:00,47,116
21/09/2016,0:00,66,91
22/09/2016,0:00,33,125
23/09/2016,0:00,36,102
24/09/2016,0:00,38,149
25/09/2016,0:00,24,36
26/09/2016,0:00,47,75
27/09/2016,0:00,67,134
28/09/2016,0:00,105,145
29/09/2016,0:00,57,102
30/09/2016,0:00,48,109
1/10/2016,0:00,49,166
2/10/2016,0:00,53,164
3/10/2016,0:00,52,107
4/10/2016,0:00,43,114
5/10/2016,0:00,63,98
6/10/2016,0:00,46,98
7/10/2016,0:00,40,63
8/10/2016,0:00,61,150
9/10/2016,0:00,45,147
10/10/2016,0:00,39,92
11/10/2016,0:00,40,146
12/10/2016,0:00,44,124
13/10/2016,0:00,34,107
14/10/2016,0:00,23,94
15/10/2016,0:00,67,131
16/10/2016,0:00,40,119
17/10/2016,0:00,46,104
18/10/2016,0:00,44,104
19/10/2016,0:00,30,109
20/10/2016,0:00,40,90
21/10/2016,0:00,37,117
22/10/2016,0:00,32,125
23/10/2016,0:00,46,130
24/10/2016,0:00,51,117
25/10/2016,0:00,46,119
26/10/2016,0:00,36,111
27/10/2016,0:00,65,119
28/10/2016,0:00,31,108
29/10/2016,0:00,56,157
30/10/2016,0:00,45,136
31/10/2016,0:00,36,82
1/11/2016,0:00,41,135
2/11/2016,0:00,45,101
3/11/2016,0:00,57,71
4/11/2016,0:00,42,97
5/11/2016,0:00,71,127
6/11/2016,0:00,49,110
7/11/2016,0:00,14,45
8/11/2016,0:00,38,60
9/11/2016,0:00,47,76
10/11/2016,0:00,57,103
11/11/2016,0:00,57,98
12/11/2016,0:00,58,218
13/11/2016,0:00,45,81
14/11/2016,0:00,35,87
15/11/2016,0:00,44,108
16/11/2016,0:00,50,98
17/11/2016,0:00,42,81
18/11/2016,0:00,35,74
19/11/2016,0:00,24,72
20/11/2016,0:00,36,68
21/11/2016,0:00,37,57
22/11/2016,0:00,56,61
23/11/2016,0:00,43,75
24/11/2016,0:00,24,46
25/11/2016,0:00,45,68
26/11/2016,0:00,47,94
27/11/2016,0:00,46,86
28/11/2016,0:00,37,53
29/11/2016,0:00,39,76
30/11/2016,0:00,41,82
1/12/2016,0:00,33,77
2/12/2016,0:00,28,55
3/12/2016,0:00,27,26
4/12/2016,0:00,38,44
5/12/2016,0:00,23,48
6/12/2016,0:00,43,73
7/12/2016,0:00,33,68
8/12/2016,0:00,25,37
9/12/2016,0:00,13,33
10/12/2016,0:00,23,64
11/12/2016,0:00,43,104
12/12/2016,0:00,45,63
13/12/2016,0:00,35,68
14/12/2016,0:00,25,65
15/12/2016,0:00,52,35
16/12/2016,0:00,40,57
17/12/2016,0:00,32,72
18/12/2016,0:00,8,14
19/12/2016,0:00,25,22
20/12/2016,0:00,20,39
21/12/2016,0:00,22,75
22/12/2016,0:00,26,47
23/12/2016,0:00,13,25
24/12/2016,0:00,35,67
25/12/2016,0:00,45,20
26/12/2016,0:00,55,62
27/12/2016,0:00,53,64
28/12/2016,0:00,46,78
29/12/2016,0:00,30,62
30/12/2016,0:00,28,61
31/12/2016,0:00,34,73
1/1/2017,0:00,48,64
2/1/2017,0:00,26,117
3/1/2017,0:00,13,33
4/1/2017,0:00,23,38
5/1/2017,0:00,31,29
6/1/2017,0:00,17,15
7/1/2017,0:00,23,21
8/1/2017,0:00,29,42
9/1/2017,0:00,35,61
10/1/2017,0:00,56,106
11/1/2017,0:00,49,96
12/1/2017,0:00,41,77
13/01/2017,0:00,20,31
14/01/2017,0:00,28,40
15/01/2017,0:00,40,22
16/01/2017,0:00,45,84
17/01/2017,0:00,38,65
18/01/2017,0:00,42,57
19/01/2017,0:00,43,78
20/01/2017,0:00,45,78
21/01/2017,0:00,69,146
22/01/2017,0:00,33,55
23/01/2017,0:00,44,99
24/01/2017,0:00,42,103
25/01/2017,0:00,48,69
26/01/2017,0:00,34,60
27/01/2017,0:00,41,32
28/01/2017,0:00,38,110
29/01/2017,0:00,63,78
30/01/2017,0:00,53,72
31/01/2017,0:00,56,97
