Date,,Denton Branch Rail Trail (MedPark Station) Pedestrians,Denton Branch Rail Trail (MedPark Station) Cyclists
21/12/2014,0:00,26,34
22/12/2014,0:00,46,63
23/12/2014,0:00,27,6
24/12/2014,0:00,18,23
25/12/2014,0:00,18,12
26/12/2014,0:00,45,34
27/12/2014,0:00,37,13
28/12/2014,0:00,29,19
29/12/2014,0:00,36,24
30/12/2014,0:00,21,15
31/12/2014,0:00,24,9
1/1/2015,0:00,12,1
2/1/2015,0:00,27,8
3/1/2015,0:00,43,38
4/1/2015,0:00,20,20
5/1/2015,0:00,39,16
6/1/2015,0:00,34,38
7/1/2015,0:00,19,9
8/1/2015,0:00,22,15
9/1/2015,0:00,17,11
10/1/2015,0:00,35,19
11/1/2015,0:00,12,16
12/1/2015,0:00,24,14
13/01/2015,0:00,15,10
14/01/2015,0:00,29,16
15/01/2015,0:00,22,48
16/01/2015,0:00,34,39
17/01/2015,0:00,57,76
18/01/2015,0:00,43,92
19/01/2015,0:00,32,95
20/01/2015,0:00,51,59
21/01/2015,0:00,43,41
22/01/2015,0:00,27,7
23/01/2015,0:00,27,23
24/01/2015,0:00,57,78
25/01/2015,0:00,47,76
26/01/2015,0:00,34,55
27/01/2015,0:00,40,79
28/01/2015,0:00,48,73
29/01/2015,0:00,40,47
30/01/2015,0:00,40,21
31/01/2015,0:00,42,37
1/2/2015,0:00,31,21
2/2/2015,0:00,29,18
3/2/2015,0:00,46,34
4/2/2015,0:00,38,22
5/2/2015,0:00,26,17
6/2/2015,0:00,37,19
7/2/2015,0:00,75,92
8/2/2015,0:00,49,129
9/2/2015,0:00,62,67
10/2/2015,0:00,43,68
11/2/2015,0:00,59,59
12/2/2015,0:00,35,25
13/02/2015,0:00,53,32
14/02/2015,0:00,63,94
15/02/2015,0:00,21,75
16/02/2015,0:00,29,6
17/02/2015,0:00,30,25
18/02/2015,0:00,35,38
19/02/2015,0:00,31,41
20/02/2015,0:00,49,35
21/02/2015,0:00,43,45
22/02/2015,0:00,9,5
23/02/2015,0:00,15,3
24/02/2015,0:00,26,4
25/02/2015,0:00,23,8
26/02/2015,0:00,17,20
27/02/2015,0:00,34,6
28/02/2015,0:00,8,3
1/3/2015,0:00,11,6
2/3/2015,0:00,26,13
3/3/2015,0:00,31,28
4/3/2015,0:00,15,4
5/3/2015,0:00,24,11
6/3/2015,0:00,33,17
7/3/2015,0:00,54,93
8/3/2015,0:00,18,34
9/3/2015,0:00,17,3
10/3/2015,0:00,24,37
11/3/2015,0:00,67,62
12/3/2015,0:00,49,62
13/03/2015,0:00,32,14
14/03/2015,0:00,62,68
15/03/2015,0:00,62,111
16/03/2015,0:00,63,98
17/03/2015,0:00,58,84
18/03/2015,0:00,38,46
19/03/2015,0:00,41,62
20/03/2015,0:00,26,11
21/03/2015,0:00,41,57
22/03/2015,0:00,44,88
23/03/2015,0:00,55,97
24/03/2015,0:00,66,93
25/03/2015,0:00,54,58
26/03/2015,0:00,259,44
27/03/2015,0:00,31,53
28/03/2015,0:00,66,109
29/03/2015,0:00,43,151
30/03/2015,0:00,58,90
31/03/2015,0:00,91,68
1/4/2015,0:00,35,26
2/4/2015,0:00,73,73
3/4/2015,0:00,83,37
4/4/2015,0:00,89,78
5/4/2015,0:00,35,24
6/4/2015,0:00,72,68
7/4/2015,0:00,53,77
8/4/2015,0:00,47,31
9/4/2015,0:00,43,73
10/4/2015,0:00,63,52
11/4/2015,0:00,58,101
12/4/2015,0:00,46,112
13/04/2015,0:00,26,30
14/04/2015,0:00,27,50
15/04/2015,0:00,85,86
16/04/2015,0:00,50,55
17/04/2015,0:00,50,33
18/04/2015,0:00,48,118
19/04/2015,0:00,65,112
20/04/2015,0:00,57,68
21/04/2015,0:00,42,73
22/04/2015,0:00,41,51
23/04/2015,0:00,43,50
24/04/2015,0:00,42,4
25/04/2015,0:00,87,166
26/04/2015,0:00,35,150
27/04/2015,0:00,27,17
28/04/2015,0:00,35,30
29/04/2015,0:00,49,128
30/04/2015,0:00,34,109
1/5/2015,0:00,66,86
2/5/2015,0:00,87,112
3/5/2015,0:00,77,144
4/5/2015,0:00,49,70
5/5/2015,0:00,39,64
6/5/2015,0:00,49,54
7/5/2015,0:00,61,35
8/5/2015,0:00,50,36
9/5/2015,0:00,55,33
10/5/2015,0:00,21,11
11/5/2015,0:00,64,100
12/5/2015,0:00,51,81
13/05/2015,0:00,13,23
14/05/2015,0:00,46,73
15/05/2015,0:00,50,36
16/05/2015,0:00,60,73
17/05/2015,0:00,35,148
18/05/2015,0:00,55,103
19/05/2015,0:00,61,50
20/05/2015,0:00,77,70
21/05/2015,0:00,57,41
22/05/2015,0:00,49,45
23/05/2015,0:00,71,80
24/05/2015,0:00,50,63
25/05/2015,0:00,48,104
26/05/2015,0:00,46,73
27/05/2015,0:00,74,79
28/05/2015,0:00,54,84
29/05/2015,0:00,65,57
30/05/2015,0:00,61,85
31/05/2015,0:00,67,239
1/6/2015,0:00,63,106
2/6/2015,0:00,79,102
3/6/2015,0:00,84,131
4/6/2015,0:00,76,99
5/6/2015,0:00,48,60
6/6/2015,0:00,70,159
7/6/2015,0:00,53,172
8/6/2015,0:00,46,103
9/6/2015,0:00,34,101
10/6/2015,0:00,37,86
11/6/2015,0:00,43,77
12/6/2015,0:00,49,103
13/06/2015,0:00,54,131
14/06/2015,0:00,42,137
15/06/2015,0:00,58,74
16/06/2015,0:00,47,49
17/06/2015,0:00,21,8
18/06/2015,0:00,52,67
19/06/2015,0:00,37,85
20/06/2015,0:00,64,149
21/06/2015,0:00,34,57
22/06/2015,0:00,45,93
23/06/2015,0:00,29,93
24/06/2015,0:00,46,81
25/06/2015,0:00,57,98
26/06/2015,0:00,50,55
27/06/2015,0:00,54,206
28/06/2015,0:00,71,162
29/06/2015,0:00,44,114
30/06/2015,0:00,40,84
1/7/2015,0:00,33,89
2/7/2015,0:00,31,70
3/7/2015,0:00,53,111
4/7/2015,0:00,30,155
5/7/2015,0:00,31,81
6/7/2015,0:00,40,101
7/7/2015,0:00,39,100
8/7/2015,0:00,39,85
9/7/2015,0:00,47,93
10/7/2015,0:00,69,86
11/7/2015,0:00,39,145
12/7/2015,0:00,49,129
13/07/2015,0:00,38,81
14/07/2015,0:00,53,82
15/07/2015,0:00,28,101
16/07/2015,0:00,35,92
17/07/2015,0:00,38,78
18/07/2015,0:00,36,126
19/07/2015,0:00,48,129
20/07/2015,0:00,29,90
21/07/2015,0:00,34,113
22/07/2015,0:00,43,66
23/07/2015,0:00,46,117
24/07/2015,0:00,32,49
25/07/2015,0:00,59,181
26/07/2015,0:00,36,93
27/07/2015,0:00,58,90
28/07/2015,0:00,56,96
29/07/2015,0:00,50,88
30/07/2015,0:00,42,75
31/07/2015,0:00,43,80
1/8/2015,0:00,62,146
2/8/2015,0:00,58,131
3/8/2015,0:00,49,84
4/8/2015,0:00,49,92
5/8/2015,0:00,33,93
6/8/2015,0:00,38,102
7/8/2015,0:00,33,74
8/8/2015,0:00,41,107
9/8/2015,0:00,27,138
10/8/2015,0:00,32,79
11/8/2015,0:00,56,105
12/8/2015,0:00,39,78
13/08/2015,0:00,33,97
14/08/2015,0:00,50,74
15/08/2015,0:00,41,154
16/08/2015,0:00,222,125
17/08/2015,0:00,47,90
18/08/2015,0:00,65,106
19/08/2015,0:00,47,99
20/08/2015,0:00,53,145
21/08/2015,0:00,52,86
22/08/2015,0:00,48,174
23/08/2015,0:00,43,130
24/08/2015,0:00,83,109
25/08/2015,0:00,67,93
26/08/2015,0:00,39,102
27/08/2015,0:00,31,95
28/08/2015,0:00,51,105
29/08/2015,0:00,64,142
30/08/2015,0:00,41,128
31/08/2015,0:00,47,98
1/9/2015,0:00,73,97
2/9/2015,0:00,36,102
3/9/2015,0:00,41,82
4/9/2015,0:00,37,78
5/9/2015,0:00,60,155
6/9/2015,0:00,36,113
7/9/2015,0:00,54,133
8/9/2015,0:00,51,88
9/9/2015,0:00,36,50
10/9/2015,0:00,51,73
11/9/2015,0:00,47,93
12/9/2015,0:00,71,208
13/09/2015,0:00,57,139
14/09/2015,0:00,45,80
15/09/2015,0:00,53,98
16/09/2015,0:00,43,105
17/09/2015,0:00,28,73
18/09/2015,0:00,41,66
19/09/2015,0:00,47,65
20/09/2015,0:00,50,143
21/09/2015,0:00,39,75
22/09/2015,0:00,69,75
23/09/2015,0:00,28,96
24/09/2015,0:00,48,89
25/09/2015,0:00,50,89
26/09/2015,0:00,40,115
27/09/2015,0:00,64,131
28/09/2015,0:00,55,105
29/09/2015,0:00,58,91
30/09/2015,0:00,42,113
1/10/2015,0:00,40,69
2/10/2015,0:00,51,93
3/10/2015,0:00,60,133
4/10/2015,0:00,67,97
5/10/2015,0:00,36,72
6/10/2015,0:00,59,82
7/10/2015,0:00,52,109
8/10/2015,0:00,39,95
9/10/2015,0:00,29,66
10/10/2015,0:00,53,145
11/10/2015,0:00,52,116
12/10/2015,0:00,27,84
13/10/2015,0:00,93,83
14/10/2015,0:00,42,58
15/10/2015,0:00,47,70
16/10/2015,0:00,32,63
17/10/2015,0:00,66,91
18/10/2015,0:00,47,135
19/10/2015,0:00,48,94
20/10/2015,0:00,49,61
21/10/2015,0:00,42,60
22/10/2015,0:00,39,50
23/10/2015,0:00,30,11
24/10/2015,0:00,42,7
25/10/2015,0:00,42,40
26/10/2015,0:00,30,81
27/10/2015,0:00,58,73
28/10/2015,0:00,44,75
29/10/2015,0:00,39,89
30/10/2015,0:00,14,6
31/10/2015,0:00,57,50
1/11/2015,0:00,48,54
2/11/2015,0:00,53,73
3/11/2015,0:00,89,77
4/11/2015,0:00,48,76
5/11/2015,0:00,17,40
6/11/2015,0:00,34,36
7/11/2015,0:00,41,66
8/11/2015,0:00,63,86
9/11/2015,0:00,50,48
10/11/2015,0:00,63,63
11/11/2015,0:00,32,47
12/11/2015,0:00,43,62
13/11/2015,0:00,42,48
14/11/2015,0:00,41,77
15/11/2015,0:00,41,36
16/11/2015,0:00,25,10
17/11/2015,0:00,29,39
18/11/2015,0:00,23,61
19/11/2015,0:00,62,42
20/11/2015,0:00,60,57
21/11/2015,0:00,42,56
22/11/2015,0:00,30,18
23/11/2015,0:00,37,19
24/11/2015,0:00,34,46
25/11/2015,0:00,32,38
26/11/2015,0:00,21,21
27/11/2015,0:00,13,3
28/11/2015,0:00,29,3
29/11/2015,0:00,12,4
30/11/2015,0:00,32,27
1/12/2015,0:00,41,26
2/12/2015,0:00,34,31
3/12/2015,0:00,38,44
4/12/2015,0:00,46,41
5/12/2015,0:00,43,101
6/12/2015,0:00,26,44
7/12/2015,0:00,43,51
8/12/2015,0:00,34,51
9/12/2015,0:00,36,54
10/12/2015,0:00,41,86
11/12/2015,0:00,66,51
12/12/2015,0:00,51,49
13/12/2015,0:00,22,28
14/12/2015,0:00,51,42
15/12/2015,0:00,41,53
16/12/2015,0:00,21,28
17/12/2015,0:00,35,22
18/12/2015,0:00,33,18
19/12/2015,0:00,44,73
20/12/2015,0:00,41,21
21/12/2015,0:00,54,39
22/12/2015,0:00,41,37
23/12/2015,0:00,38,45
24/12/2015,0:00,42,52
25/12/2015,0:00,26,41
26/12/2015,0:00,42,19
27/12/2015,0:00,2,1
28/12/2015,0:00,29,8
29/12/2015,0:00,31,24
30/12/2015,0:00,41,33
31/12/2015,0:00,33,37
1/1/2016,0:00,42,50
2/1/2016,0:00,32,37
3/1/2016,0:00,47,82
4/1/2016,0:00,45,28
5/1/2016,0:00,24,30
6/1/2016,0:00,24,13
7/1/2016,0:00,45,37
8/1/2016,0:00,42,27
9/1/2016,0:00,26,17
10/1/2016,0:00,17,21
11/1/2016,0:00,42,14
12/1/2016,0:00,35,41
13/01/2016,0:00,43,42
14/01/2016,0:00,35,29
15/01/2016,0:00,31,42
16/01/2016,0:00,32,29
17/01/2016,0:00,33,68
18/01/2016,0:00,50,36
19/01/2016,0:00,41,46
20/01/2016,0:00,54,24
21/01/2016,0:00,19,23
22/01/2016,0:00,32,28
23/01/2016,0:00,49,39
24/01/2016,0:00,49,95
25/01/2016,0:00,46,47
26/01/2016,0:00,23,36
27/01/2016,0:00,26,27
28/01/2016,0:00,37,66
29/01/2016,0:00,37,57
30/01/2016,0:00,47,137
31/01/2016,0:00,67,115
1/2/2016,0:00,35,43
2/2/2016,0:00,40,47
3/2/2016,0:00,22,33
4/2/2016,0:00,26,29
5/2/2016,0:00,22,34
6/2/2016,0:00,43,44
7/2/2016,0:00,45,51
8/2/2016,0:00,13,20
9/2/2016,0:00,35,35
10/2/2016,0:00,30,43
11/2/2016,0:00,44,52
12/2/2016,0:00,44,51
13/02/2016,0:00,72,63
14/02/2016,0:00,53,77
15/02/2016,0:00,47,59
16/02/2016,0:00,40,44
17/02/2016,0:00,45,50
18/02/2016,0:00,35,37
19/02/2016,0:00,53,45
20/02/2016,0:00,73,140
21/02/2016,0:00,46,54
22/02/2016,0:00,31,22
23/02/2016,0:00,8,7
24/02/2016,0:00,14,23
25/02/2016,0:00,55,37
26/02/2016,0:00,44,30
27/02/2016,0:00,81,142
28/02/2016,0:00,67,99
29/02/2016,0:00,24,57
1/3/2016,0:00,39,39
2/3/2016,0:00,35,32
3/3/2016,0:00,45,35
4/3/2016,0:00,51,51
5/3/2016,0:00,43,137
6/3/2016,0:00,47,93
7/3/2016,0:00,18,16
8/3/2016,0:00,32,17
9/3/2016,0:00,27,10
10/3/2016,0:00,26,9
11/3/2016,0:00,17,14
12/3/2016,0:00,64,58
13/03/2016,0:00,70,128
14/03/2016,0:00,38,76
15/03/2016,0:00,55,88
16/03/2016,0:00,57,67
17/03/2016,0:00,21,25
18/03/2016,0:00,35,16
19/03/2016,0:00,43,52
20/03/2016,0:00,32,58
21/03/2016,0:00,36,30
22/03/2016,0:00,37,58
23/03/2016,0:00,47,34
24/03/2016,0:00,48,31
25/03/2016,0:00,25,69
26/03/2016,0:00,49,125
27/03/2016,0:00,48,61
28/03/2016,0:00,27,73
29/03/2016,0:00,51,63
30/03/2016,0:00,39,20
31/03/2016,0:00,59,78
1/4/2016,0:00,24,36
2/4/2016,0:00,77,194
3/4/2016,0:00,60,187
4/4/2016,0:00,302,63
5/4/2016,0:00,61,65
6/4/2016,0:00,27,59
7/4/2016,0:00,51,70
8/4/2016,0:00,56,60
9/4/2016,0:00,42,80
10/4/2016,0:00,41,53
11/4/2016,0:00,27,32
12/4/2016,0:00,53,41
13/04/2016,0:00,59,20
14/04/2016,0:00,64,89
15/04/2016,0:00,60,74
16/04/2016,0:00,44,86
17/04/2016,0:00,21,17
18/04/2016,0:00,53,30
19/04/2016,0:00,48,87
20/04/2016,0:00,40,55
21/04/2016,0:00,63,60
22/04/2016,0:00,41,96
23/04/2016,0:00,79,103
24/04/2016,0:00,44,143
25/04/2016,0:00,36,51
26/04/2016,0:00,22,43
27/04/2016,0:00,81,76
28/04/2016,0:00,52,77
29/04/2016,0:00,34,20
30/04/2016,0:00,50,143
1/5/2016,0:00,102,130
2/5/2016,0:00,39,47
3/5/2016,0:00,28,89
4/5/2016,0:00,57,95
5/5/2016,0:00,37,89
6/5/2016,0:00,41,74
7/5/2016,0:00,46,90
8/5/2016,0:00,21,24
9/5/2016,0:00,37,57
10/5/2016,0:00,31,83
11/5/2016,0:00,34,71
12/5/2016,0:00,41,74
13/05/2016,0:00,39,73
14/05/2016,0:00,91,82
15/05/2016,0:00,70,117
16/05/2016,0:00,40,57
17/05/2016,0:00,50,58
18/05/2016,0:00,44,30
19/05/2016,0:00,38,31
20/05/2016,0:00,46,66
21/05/2016,0:00,69,148
22/05/2016,0:00,61,140
23/05/2016,0:00,32,67
24/05/2016,0:00,52,81
25/05/2016,0:00,57,110
26/05/2016,0:00,33,48
27/05/2016,0:00,28,67
28/05/2016,0:00,59,153
29/05/2016,0:00,53,79
30/05/2016,0:00,55,191
31/05/2016,0:00,26,34
1/6/2016,0:00,40,62
2/6/2016,0:00,19,24
3/6/2016,0:00,61,60
4/6/2016,0:00,62,210
5/6/2016,0:00,78,213
6/6/2016,0:00,47,108
7/6/2016,0:00,50,104
8/6/2016,0:00,55,113
9/6/2016,0:00,30,90
10/6/2016,0:00,39,91
11/6/2016,0:00,38,125
12/6/2016,0:00,23,78
13/06/2016,0:00,38,57
14/06/2016,0:00,58,97
15/06/2016,0:00,35,94
16/06/2016,0:00,31,93
17/06/2016,0:00,40,52
18/06/2016,0:00,32,115
19/06/2016,0:00,39,110
20/06/2016,0:00,40,105
21/06/2016,0:00,47,93
22/06/2016,0:00,26,80
23/06/2016,0:00,34,96
24/06/2016,0:00,36,72
25/06/2016,0:00,44,175
26/06/2016,0:00,31,118
27/06/2016,0:00,53,72
28/06/2016,0:00,56,97
29/06/2016,0:00,34,93
30/06/2016,0:00,40,82
1/7/2016,0:00,56,68
2/7/2016,0:00,36,111
3/7/2016,0:00,47,111
4/7/2016,0:00,29,113
5/7/2016,0:00,59,70
6/7/2016,0:00,49,96
7/7/2016,0:00,32,61
8/7/2016,0:00,23,77
9/7/2016,0:00,14,123
10/7/2016,0:00,38,134
11/7/2016,0:00,45,56
12/7/2016,0:00,52,63
13/07/2016,0:00,52,63
14/07/2016,0:00,41,81
15/07/2016,0:00,40,58
16/07/2016,0:00,42,160
17/07/2016,0:00,27,136
18/07/2016,0:00,34,71
19/07/2016,0:00,61,103
20/07/2016,0:00,52,97
21/07/2016,0:00,45,57
22/07/2016,0:00,26,71
23/07/2016,0:00,43,134
24/07/2016,0:00,32,117
25/07/2016,0:00,48,67
26/07/2016,0:00,55,104
27/07/2016,0:00,49,62
28/07/2016,0:00,32,90
29/07/2016,0:00,34,77
30/07/2016,0:00,44,124
31/07/2016,0:00,37,130
1/8/2016,0:00,36,74
2/8/2016,0:00,58,100
3/8/2016,0:00,87,71
4/8/2016,0:00,37,64
5/8/2016,0:00,37,56
6/8/2016,0:00,72,129
7/8/2016,0:00,34,127
8/8/2016,0:00,34,84
9/8/2016,0:00,49,104
10/8/2016,0:00,46,65
11/8/2016,0:00,45,75
12/8/2016,0:00,27,57
13/08/2016,0:00,56,127
14/08/2016,0:00,44,116
15/08/2016,0:00,41,68
16/08/2016,0:00,68,116
17/08/2016,0:00,57,78
18/08/2016,0:00,46,56
19/08/2016,0:00,31,36
20/08/2016,0:00,43,55
21/08/2016,0:00,76,167
22/08/2016,0:00,36,49
23/08/2016,0:00,68,100
24/08/2016,0:00,57,61
25/08/2016,0:00,52,80
26/08/2016,0:00,36,59
27/08/2016,0:00,48,137
28/08/2016,0:00,37,175
29/08/2016,0:00,36,70
30/08/2016,0:00,71,106
31/08/2016,0:00,55,79
1/9/2016,0:00,42,85
2/9/2016,0:00,57,87
3/9/2016,0:00,50,140
4/9/2016,0:00,39,111
5/9/2016,0:00,44,128
6/9/2016,0:00,32,80
7/9/2016,0:00,41,84
8/9/2016,0:00,39,75
9/9/2016,0:00,32,59
10/9/2016,0:00,55,90
11/9/2016,0:00,50,177
12/9/2016,0:00,40,115
13/09/2016,0:00,66,85
14/09/2016,0:00,50,62
15/09/2016,0:00,49,76
16/09/2016,0:00,57,56
17/09/2016,0:00,69,79
18/09/2016,0:00,55,119
19/09/2016,0:00,43,89
20/09/2016,0:00,73,86
21/09/2016,0:00,38,89
22/09/2016,0:00,46,82
23/09/2016,0:00,39,67
24/09/2016,0:00,48,109
25/09/2016,0:00,22,43
26/09/2016,0:00,55,46
27/09/2016,0:00,45,119
28/09/2016,0:00,60,105
29/09/2016,0:00,41,96
30/09/2016,0:00,50,55
1/10/2016,0:00,57,138
2/10/2016,0:00,62,144
3/10/2016,0:00,58,73
4/10/2016,0:00,49,95
5/10/2016,0:00,34,97
6/10/2016,0:00,44,52
7/10/2016,0:00,43,30
8/10/2016,0:00,73,135
9/10/2016,0:00,83,142
10/10/2016,0:00,58,89
11/10/2016,0:00,56,87
12/10/2016,0:00,58,84
13/10/2016,0:00,48,101
14/10/2016,0:00,58,50
15/10/2016,0:00,52,97
16/10/2016,0:00,67,118
17/10/2016,0:00,42,70
18/10/2016,0:00,36,64
19/10/2016,0:00,35,80
20/10/2016,0:00,82,57
21/10/2016,0:00,67,68
22/10/2016,0:00,70,125
23/10/2016,0:00,58,117
24/10/2016,0:00,82,81
25/10/2016,0:00,76,86
26/10/2016,0:00,32,90
27/10/2016,0:00,32,70
28/10/2016,0:00,50,77
29/10/2016,0:00,70,137
30/10/2016,0:00,45,138
31/10/2016,0:00,63,74
1/11/2016,0:00,44,76
2/11/2016,0:00,43,70
3/11/2016,0:00,43,60
4/11/2016,0:00,50,76
5/11/2016,0:00,78,120
6/11/2016,0:00,39,87
7/11/2016,0:00,32,23
8/11/2016,0:00,41,42
9/11/2016,0:00,52,48
10/11/2016,0:00,41,82
11/11/2016,0:00,54,84
12/11/2016,0:00,60,139
13/11/2016,0:00,43,77
14/11/2016,0:00,56,75
15/11/2016,0:00,67,78
16/11/2016,0:00,50,78
17/11/2016,0:00,39,46
18/11/2016,0:00,41,39
19/11/2016,0:00,48,54
20/11/2016,0:00,38,54
21/11/2016,0:00,44,41
22/11/2016,0:00,42,37
23/11/2016,0:00,48,49
24/11/2016,0:00,31,38
25/11/2016,0:00,34,54
26/11/2016,0:00,60,83
27/11/2016,0:00,43,39
28/11/2016,0:00,46,25
29/11/2016,0:00,58,46
30/11/2016,0:00,44,47
1/12/2016,0:00,34,45
2/12/2016,0:00,34,39
3/12/2016,0:00,24,11
4/12/2016,0:00,35,22
5/12/2016,0:00,27,28
6/12/2016,0:00,36,45
7/12/2016,0:00,24,27
8/12/2016,0:00,26,11
9/12/2016,0:00,33,15
10/12/2016,0:00,27,25
11/12/2016,0:00,38,83
12/12/2016,0:00,43,39
13/12/2016,0:00,33,36
14/12/2016,0:00,44,24
15/12/2016,0:00,30,15
16/12/2016,0:00,36,24
17/12/2016,0:00,43,58
18/12/2016,0:00,10,6
19/12/2016,0:00,31,13
20/12/2016,0:00,35,39
21/12/2016,0:00,48,52
22/12/2016,0:00,30,25
23/12/2016,0:00,29,19
24/12/2016,0:00,25,43
25/12/2016,0:00,18,22
26/12/2016,0:00,57,63
27/12/2016,0:00,53,41
28/12/2016,0:00,46,70
29/12/2016,0:00,35,26
30/12/2016,0:00,37,28
31/12/2016,0:00,47,80
1/1/2017,0:00,37,56
2/1/2017,0:00,55,108
3/1/2017,0:00,19,29
4/1/2017,0:00,23,32
5/1/2017,0:00,27,15
6/1/2017,0:00,28,5
7/1/2017,0:00,35,15
8/1/2017,0:00,26,22
9/1/2017,0:00,35,25
10/1/2017,0:00,44,78
11/1/2017,0:00,34,51
12/1/2017,0:00,28,39
13/01/2017,0:00,21,18
14/01/2017,0:00,21,7
15/01/2017,0:00,23,14
16/01/2017,0:00,55,47
17/01/2017,0:00,29,40
18/01/2017,0:00,39,30
19/01/2017,0:00,32,42
20/01/2017,0:00,93,53
21/01/2017,0:00,39,101
22/01/2017,0:00,27,31
23/01/2017,0:00,50,45
24/01/2017,0:00,45,61
25/01/2017,0:00,43,38
26/01/2017,0:00,25,39
27/01/2017,0:00,36,32
28/01/2017,0:00,50,72
29/01/2017,0:00,43,71
30/01/2017,0:00,69,68
31/01/2017,0:00,42,78
1/2/2017,0:00,84,81
